lr,batch_size,dropout,activation,batchnorm,weight_decay,optimizer,final_test_acc
0.001,64,0.3,<class 'torch.nn.modules.activation.ReLU'>,False,0.0,<class 'torch.optim.adam.Adam'>,64.25
0.001,64,0.3,<class 'torch.nn.modules.activation.ReLU'>,False,0.0,<class 'torch.optim.sgd.SGD'>,16.33
0.001,64,0.3,<class 'torch.nn.modules.activation.ReLU'>,False,0.0001,<class 'torch.optim.adam.Adam'>,62.35
0.001,64,0.3,<class 'torch.nn.modules.activation.ReLU'>,False,0.0001,<class 'torch.optim.sgd.SGD'>,15.29
0.001,64,0.3,<class 'torch.nn.modules.activation.ReLU'>,True,0.0,<class 'torch.optim.adam.Adam'>,68.37
0.001,64,0.3,<class 'torch.nn.modules.activation.ReLU'>,True,0.0,<class 'torch.optim.sgd.SGD'>,46.1
0.001,64,0.3,<class 'torch.nn.modules.activation.ReLU'>,True,0.0001,<class 'torch.optim.adam.Adam'>,67.83
0.001,64,0.3,<class 'torch.nn.modules.activation.ReLU'>,True,0.0001,<class 'torch.optim.sgd.SGD'>,46.46
0.001,64,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0,<class 'torch.optim.adam.Adam'>,64.08
0.001,64,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0,<class 'torch.optim.sgd.SGD'>,10.11
0.001,64,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0001,<class 'torch.optim.adam.Adam'>,64.91
0.001,64,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0001,<class 'torch.optim.sgd.SGD'>,14.72
0.001,64,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0,<class 'torch.optim.adam.Adam'>,69.07
0.001,64,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0,<class 'torch.optim.sgd.SGD'>,46.73
0.001,64,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0001,<class 'torch.optim.adam.Adam'>,69.1
0.001,64,0.3,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0001,<class 'torch.optim.sgd.SGD'>,46.72
0.001,64,0.5,<class 'torch.nn.modules.activation.ReLU'>,False,0.0,<class 'torch.optim.adam.Adam'>,64.59
0.001,64,0.5,<class 'torch.nn.modules.activation.ReLU'>,False,0.0,<class 'torch.optim.sgd.SGD'>,14.04
0.001,64,0.5,<class 'torch.nn.modules.activation.ReLU'>,False,0.0001,<class 'torch.optim.adam.Adam'>,63.48
0.001,64,0.5,<class 'torch.nn.modules.activation.ReLU'>,False,0.0001,<class 'torch.optim.sgd.SGD'>,18.2
0.001,64,0.5,<class 'torch.nn.modules.activation.ReLU'>,True,0.0,<class 'torch.optim.adam.Adam'>,65.35
0.001,64,0.5,<class 'torch.nn.modules.activation.ReLU'>,True,0.0,<class 'torch.optim.sgd.SGD'>,45.52
0.001,64,0.5,<class 'torch.nn.modules.activation.ReLU'>,True,0.0001,<class 'torch.optim.adam.Adam'>,65.42
0.001,64,0.5,<class 'torch.nn.modules.activation.ReLU'>,True,0.0001,<class 'torch.optim.sgd.SGD'>,44.69
0.001,64,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0,<class 'torch.optim.adam.Adam'>,63.96
0.001,64,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0,<class 'torch.optim.sgd.SGD'>,14.08
0.001,64,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0001,<class 'torch.optim.adam.Adam'>,64.64
0.001,64,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,False,0.0001,<class 'torch.optim.sgd.SGD'>,17.58
0.001,64,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0,<class 'torch.optim.adam.Adam'>,60.87
0.001,64,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0,<class 'torch.optim.sgd.SGD'>,45.62
0.001,64,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0001,<class 'torch.optim.adam.Adam'>,63.78
0.001,64,0.5,<class 'torch.nn.modules.activation.LeakyReLU'>,True,0.0001,<class 'torch.optim.sgd.SGD'>,44.97
0.001,128,0.3,<class 'torch.nn.modules.activation.ReLU'>,False,0.0,<class 'torch.optim.adam.Adam'>,62.33
0.001,128,0.3,<class 'torch.nn.modules.activation.ReLU'>,False,0.0,<class 'torch.optim.sgd.SGD'>,12.87
0.001,128,0.3,<class 'torch.nn.modules.activation.ReLU'>,False,0.0001,<class 'torch.optim.adam.Adam'>,62.61
0.001,128,0.3,<class 'torch.nn.modules.activation.ReLU'>,False,0.0001,<class 'torch.optim.sgd.SGD'>,10.17
0.001,128,0.3,<class 'torch.nn.modules.activation.ReLU'>,True,0.0,<class 'torch.optim.adam.Adam'>,63.22
0.001,128,0.3,<class 'torch.nn.modules.activation.ReLU'>,True,0.0,<class 'torch.optim.sgd.SGD'>,40.54
0.001,128,0.3,<class 'torch.nn.modules.activation.ReLU'>,True,0.0001,<class 'torch.optim.adam.Adam'>,67.27
0.001,128,0.3,<class 'torch.nn.modules.activation.ReLU'>,True,0.0001,<class 'torch.optim.sgd.SGD'>,40.91
